City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chonchi,-42.6128,-73.8092,10.62,96,100,1.51,CL,1702343054
1,whitehorse,60.7161,-135.0538,-5.29,91,48,4.18,CA,1702343487
2,rio grande,-32.035,-52.0986,21.08,84,33,7.28,BR,1702343487
3,waitangi,-43.9535,-176.5597,15.46,89,100,4.02,NZ,1702343488
4,ustka,54.5805,16.8619,2.03,98,100,2.14,PL,1702343489
5,avarua,-21.2078,-159.775,27.03,78,75,10.29,CK,1702343489
6,port alfred,-33.5906,26.891,17.32,96,0,2.24,ZA,1702343093
7,port-aux-francais,-49.35,70.2167,6.07,98,100,10.37,TF,1702343490
8,isafjordur,66.0755,-23.124,-5.08,81,34,1.89,IS,1702343490
9,iqaluit,63.7506,-68.5145,-27.55,96,69,1.85,CA,1702343192
10,malango,-2.9627,119.9001,25.95,73,88,0.61,ID,1702343491
11,west island,-12.1568,96.8225,26.99,69,84,3.6,CC,1702343492
12,mandera,3.9366,41.867,28.03,53,100,3.22,KE,1702343091
13,enewetak,11.3474,162.3373,27.92,75,9,8.23,MH,1702343293
14,port douglas,-16.4833,145.4667,35.78,41,74,2.76,AU,1702343066
15,invercargill,-46.4,168.35,11.32,56,58,8.94,NZ,1702343493
16,mantua,45.1667,10.7833,5.59,92,88,0.89,IT,1702343493
17,praia,14.9215,-23.5087,22.3,83,57,3.09,CV,1702343494
18,puerto natales,-51.7236,-72.4875,6.75,85,89,2.65,CL,1702343422
19,wailua homesteads,22.0669,-159.378,27.24,84,75,4.12,US,1702343494
20,georgetown,5.4112,100.3354,26.96,89,20,1.54,MY,1702343495
21,east falmouth,41.5784,-70.5586,6.06,71,0,6.69,US,1702343495
22,lihue,21.9789,-159.3672,27.58,80,75,4.12,US,1702343496
23,bati,11.1833,40.0167,15.24,50,48,2.0,ET,1702343496
24,stanley,54.868,-1.6985,0.95,96,40,0.51,GB,1702343497
25,hasaki,35.7333,140.8333,12.38,93,100,8.78,JP,1702343081
26,smithers,54.7804,-127.1743,-3.82,93,100,1.54,CA,1702343087
27,olonkinbyen,70.9221,-8.7187,-0.09,98,100,2.83,SJ,1702343498
28,moranbah,-22.0016,148.0466,28.18,64,93,10.82,AU,1702343498
29,alofi,-19.0595,-169.9187,28.94,70,75,4.63,NU,1702343107
30,newman,37.3138,-121.0208,14.13,50,5,2.02,US,1702343498
31,port macquarie,-31.4333,152.9167,27.72,59,0,4.12,AU,1702343061
32,longyearbyen,78.2186,15.6401,-7.09,68,75,7.2,SJ,1702343499
33,warman,52.3168,-106.5679,-9.5,61,9,4.57,CA,1702343500
34,puerto ayora,-0.7393,-90.3518,24.25,85,12,2.86,EC,1702343500
35,adamstown,-25.066,-130.1015,21.73,60,37,0.74,PN,1702343500
36,ndele,8.4109,20.6473,22.57,22,100,1.64,CF,1702343501
37,bethel,41.3712,-73.414,3.75,63,100,4.63,US,1702343501
38,sao joao da barra,-21.6403,-41.0511,23.79,94,100,3.7,BR,1702343501
39,thompson,55.7435,-97.8558,-13.72,82,100,7.28,CA,1702343502
40,mabaruma,8.2,-59.7833,23.46,95,77,1.16,GY,1702343502
41,siwa oasis,29.2041,25.5195,13.56,80,23,2.87,EG,1702343502
42,fale old settlement,-9.3852,-171.2468,28.93,77,100,9.18,TK,1702343503
43,bouna,9.2667,-3.0,23.82,15,0,2.29,CI,1702343503
44,san bartolo,19.1833,-100.05,9.5,86,96,2.98,MX,1702343504
45,qaqortoq,60.7167,-46.0333,-0.52,97,100,3.4,GL,1702343504
46,yellowknife,62.456,-114.3525,-25.25,75,80,3.58,CA,1702343504
47,grytviken,-54.2811,-36.5092,1.71,76,4,2.58,GS,1702343505
48,melilla,35.2937,-2.9383,18.21,29,0,2.06,ES,1702343505
49,moab,38.5733,-109.5498,1.03,39,100,1.35,US,1702343297
50,jayapura,-2.5333,140.7,29.66,65,100,3.9,ID,1702343506
51,yuzhno-kurilsk,44.0306,145.8556,0.76,76,100,5.4,RU,1702343056
52,fort st. john,56.2499,-120.8529,-5.06,74,40,3.6,CA,1702342855
53,blackmans bay,-43.0167,147.3167,20.07,48,100,2.02,AU,1702343507
54,saint-philippe,-21.3585,55.7679,21.77,79,62,3.99,RE,1702343268
55,hotan,37.0997,79.9269,0.69,35,100,2.17,CN,1702343508
56,sandnessjoen,66.0217,12.6316,-13.71,78,3,6.62,NO,1702343000
57,waveland,30.2869,-89.3762,10.02,93,40,0.0,US,1702343509
58,inhambane,-23.865,35.3833,25.57,95,100,3.44,MZ,1702343066
59,mont-dore,-22.2833,166.5833,28.99,59,96,6.01,NC,1702343510
60,lianzhou,24.7811,112.3825,10.16,78,57,2.72,CN,1702343510
61,constantia,44.1833,28.65,0.39,83,66,3.98,RO,1702343510
62,kill devil hills,36.0307,-75.676,7.21,70,0,3.6,US,1702343107
63,skiathos,39.1623,23.4909,11.65,69,99,3.4,GR,1702343240
64,tolanaro,-25.0319,46.9987,23.66,95,100,3.93,MG,1702343511
65,west fargo,46.875,-96.9004,-1.97,69,0,8.23,US,1702343512
66,tomakomai,42.6369,141.6033,-0.46,93,100,4.12,JP,1702343512
67,pacific grove,36.6177,-121.9166,15.62,83,0,4.47,US,1702343512
68,namibe,-15.1961,12.1522,21.78,73,35,2.02,AO,1702343513
69,wajir,1.7471,40.0573,26.03,75,100,4.57,KE,1702343513
70,barcelos,41.5388,-8.6151,16.62,96,100,3.59,PT,1702343414
71,san jacinto,33.7839,-116.9586,18.18,15,100,1.04,US,1702343513
72,gerash,27.6652,54.1371,12.89,26,87,0.85,IR,1702343514
73,edinburgh of the seven seas,-37.0676,-12.3116,14.07,91,100,9.21,SH,1702343514
